stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type,stop_code
-36.89334,merged_29,174.81142,7460-20180702170310_v67.28,31479-20180702170310_v67.28,,137 Ladies Mile,0,7460
-36.85372,merged_29,174.87779,7362-20180702170310_v67.28,31081-20180702170310_v67.28,,493 Riddell Rd,0,7362
-37.06223,merged_29,174.94928,2598-20180702170310_v67.28,51681-20180702170310_v67.28,,2 Willis Rd,0,2598
-36.90379,merged_29,174.91528,1910-20180702170310_v67.28,31648-20180702170310_v67.28,,36 Bradbury Rd,0,1910
-36.71366,merged_29,174.72633,41575-20180702170310_v67.28,,,East Coast Rd and Sartors,1,41575
-36.76157,merged_30,174.73643,3850-20180725154052_v68.11,41412-20180725154052_v68.11,,10 Totaravale Dr,0,3850
-36.7878,merged_30,175.01068,1161-20180725154052_v68.11,61063-20180725154052_v68.11,,Tui St near Rata St,0,1161
-36.94043,merged_29,174.77303,6702-20180702170310_v67.28,51430-20180702170310_v67.28,,56 Kiwi Esp,0,6702
-36.62318,merged_30,174.7338,41764-20180725154052_v68.11,,,Vipond Rd and Joydon,1,41764
-36.88784,merged_30,174.81606,7706-20180725154052_v68.11,31388-20180725154052_v68.11,,58 Abbotts Way,0,7706
-37.05507,merged_29,174.94806,51671-20180702170310_v67.28,,,Old Wairoa Rd/Halberg St,1,51671
-36.86551,merged_30,174.80018,31428-20180725154052_v68.11,,,Victoria Ave/Baradene College,1,31428
-36.78195,merged_29,174.75719,3869-20180702170310_v67.28,41112-20180702170310_v67.28,,North Shore Hospital opp Entrance,0,3869
-36.95655,merged_30,174.63729,5514-20180725154052_v68.11,21383-20180725154052_v68.11,,170 Laingholm Dr,0,5514
-36.8723,merged_29,174.75286,8406-20180702170310_v67.28,11431-20180702170310_v67.28,,80 View Rd,0,8406
-36.91216,merged_29,174.6404,21325-20180702170310_v67.28,,,Rosier Rd/Claridge St,1,21325
-36.86769,merged_30,174.72851,8121-20180725154052_v68.11,11113-20180725154052_v68.11,,Great North Rd near Stadium Rd,0,8121
-36.7811,merged_29,174.71943,4101-20180702170310_v67.28,49506-20180702170310_v67.28,,13 Kaipatiki Rd,0,4101
-37.04679,merged_30,174.93454,2726-20180725154052_v68.11,51727-20180725154052_v68.11,,192 Porchester Rd,0,2726
-36.71964,merged_30,174.73583,3134-20180725154052_v68.11,41590-20180725154052_v68.11,,10 Oaktree Ave,0,3134
-36.81419,merged_30,174.70996,4237-20180725154052_v68.11,41221-20180725154052_v68.11,,105 Chelsea View Dr,0,4237
-36.90829,merged_30,174.69688,11208-20180725154052_v68.11,,,Wolverton St/Miranda St,1,11208
-36.86634,merged_29,174.85232,7837-20180702170310_v67.28,31069-20180702170310_v67.28,,4 West Tamaki Rd,0,7837
-36.80976,merged_30,174.78691,3544-20180725154052_v68.11,41043-20180725154052_v68.11,,172 Bayswater Ave,0,3544
-36.79542,merged_30,174.72959,41269-20180725154052_v68.11,,,Hume Dr and Monarch,1,41269
-36.86618,merged_30,174.5763,0127-20180725154052_v68.11,,,Swanson Train Station,0,127
-36.98024,merged_29,174.87612,6022-20180702170310_v67.28,51601-20180702170310_v67.28,,Great South Rd Manukau near Caspar Rd,0,6022
-36.91954,merged_30,174.67557,21458-20180725154052_v68.11,,,Hutchinson Ave/Willerton Ave,1,21458
-36.90315,merged_29,174.9336,1731-20180702170310_v67.28,10149-20180702170310_v67.28,,131 Cook St,0,1731
-36.90318,merged_30,174.62836,1661-20180725154052_v68.11,21890-20180725154052_v68.11,,101 Seymour Rd,0,1661
-36.98648,merged_30,174.84482,2449-20180725154052_v68.11,51682-20180725154052_v68.11,,47 Pah Rd,0,2449
-36.78552,merged_29,174.77323,41090-20180702170310_v67.28,,,Hurstmere Rd and Anzac,1,41090
-36.89571,merged_30,174.7447,8422-20180725154052_v68.11,11383-20180725154052_v68.11,,882 Dominion Rd,0,8422
-37.25534,merged_29,174.74034,2924-20180702170310_v67.28,51736-20180702170310_v67.28,,80 Victoria Ave Waiuku,0,2924
-36.8476,merged_30,174.82947,31011-20180725154052_v68.11,,,Tamaki Drive/Selwyn Domain,1,31011
-36.81806,merged_30,174.61705,5807-20180725154052_v68.11,21536-20180725154052_v68.11,,25 Hobsonville Rd,0,5807
-37.02243,merged_29,174.86421,6120-20180702170310_v67.28,51187-20180702170310_v67.28,,352 Roscommon Rd,0,6120
-36.97319,merged_30,174.87054,51323-20180725154052_v68.11,,,Tui Rd/Fraser Rd,1,51323
-36.92071,merged_30,174.76779,8973-20180725154052_v68.11,11561-20180725154052_v68.11,,Queenstown Rd near Beachcroft Ave,0,8973
-36.9087,merged_29,174.70175,8341-20180702170310_v67.28,11193-20180702170310_v67.28,,305 Blockhouse Bay Rd,0,8341
-36.94904,merged_29,174.89397,2028-20180702170310_v67.28,31782-20180702170310_v67.28,,10 Lady Ruby Dr,0,2028
-36.7994,merged_30,174.72268,4417-20180725154052_v68.11,41249-20180725154052_v68.11,,Eskdale Rd (on request),0,4417
-36.80576,merged_29,174.75324,3915-20180702170310_v67.28,41138-20180702170310_v67.28,,101 Exmouth Rd,0,3915
-37.01162,merged_30,174.88342,2273-20180725154052_v68.11,51607-20180725154052_v68.11,,59 Browns Rd,0,2273
-36.86861,merged_30,174.9068,31952-20180725154052_v68.11,,,Clovelly Rd/Waller Ave,1,31952
-36.903,merged_30,174.77391,11548-20180725154052_v68.11,,,Manukau Rd/Gladwin Rd,1,11548
-36.90971,merged_30,174.91006,31645-20180725154052_v68.11,,,Bradbury Rd/Lewisham St,1,31645
-36.88074,merged_30,174.79725,31406-20180725154052_v68.11,,,Remuera Rd/Remuera Shopping Centre,1,31406
-36.87404,merged_30,174.72545,1845-20180725154052_v68.11,11921-20180725154052_v68.11,,1 St Lukes Rd,0,1845
-36.62964,merged_29,174.6561,4822-20180702170310_v67.28,41671-20180702170310_v67.28,,1686 Dairy Flat Hwy,0,4822
-36.84911,merged_30,174.78285,1331-20180725154052_v68.11,11511-20180725154052_v68.11,,165 The Strand,0,1331
-36.78419,merged_30,174.71306,3918-20180725154052_v68.11,41281-20180725154052_v68.11,,90 Stanley Rd,0,3918
-36.82984,merged_30,174.6159,1591-20180725154052_v68.11,21880-20180725154052_v68.11,,71 Westgate Dr,0,1591
-36.88637,merged_30,174.65947,5538-20180725154052_v68.11,21855-20180725154052_v68.11,,170 Hepburn Rd,0,5538
-36.7915,merged_29,175.0535,61043-20180702170310_v67.28,,,Waiheke Primary School,1,61043
-36.87377,merged_30,174.80993,31444-20180725154052_v68.11,,,Upland Rd/Poto St,1,31444
-36.9471,merged_30,174.83366,1777-20180725154052_v68.11,61139-20180725154052_v68.11,,Stop B Otahuhu Interchange,0,1777
-36.87819,merged_29,174.86592,7942-20180702170310_v67.28,31125-20180702170310_v67.28,,117 Taniwha St,0,7942
-36.69679,merged_29,174.73347,4194-20180702170310_v67.28,49512-20180702170310_v67.28,,51 Stredwick Dr,0,4194
-36.71487,merged_30,174.74305,3087-20180725154052_v68.11,41538-20180725154052_v68.11,,Beach Rd and Bute Rd,0,3087
-37.06496,merged_30,174.9463,2716-20180725154052_v68.11,51012-20180725154052_v68.11,,Papakura Train Station,0,2716
-36.82654,merged_30,174.78065,41002-20180725154052_v68.11,,,1 to 2 Stanley Point Rd,1,41002
-36.88646,merged_30,174.65503,5534-20180725154052_v68.11,21282-20180725154052_v68.11,,52 Barrys Rd,0,5534
-36.8152,merged_29,174.77433,3511-20180702170310_v67.28,41048-20180702170310_v67.28,,41 Bayswater Ave,0,3511
-36.73328,merged_29,174.73366,49559-20180702170310_v67.28,,,596 East Coast Rd,1,49559
-36.88997,merged_30,174.63816,5781-20180725154052_v68.11,21266-20180725154052_v68.11,,67 View Rd,0,5781
-36.91361,merged_30,174.78307,11913-20180725154052_v68.11,,,Mt Smart Rd/Onehunga Mall,1,11913
-36.88289,merged_30,174.68125,61151-20180725154052_v68.11,,,/Copsey Place,1,61151
-36.78136,merged_30,174.77427,41091-20180725154052_v68.11,,,Hurstmere Rd and Brett,1,41091
-36.90348,merged_29,174.95044,32022-20180702170310_v67.28,,,Pah Rd/Sea View Terrace,1,32022
-36.9039,merged_30,174.88599,31888-20180725154052_v68.11,,,Glenmore Rd/The Boulevard,1,31888
-37.0219,merged_30,174.90317,51216-20180725154052_v68.11,,,Alfriston Rd/Flemming St,1,51216
-36.86353,merged_29,174.90212,31595-20180702170310_v67.28,,,Hattaway Ave/Bucklands Beach Bowling Club,1,31595
-36.89329,merged_29,174.72617,11296-20180702170310_v67.28,,,Mt Albert Rd/Owairaka Ave Shops,1,11296
-36.88177,merged_29,174.61587,5387-20180702170310_v67.28,21837-20180702170310_v67.28,,113 Sturges Rd,0,5387
-36.89572,merged_29,174.73108,8824-20180702170310_v67.28,11299-20180702170310_v67.28,,214 Mt Albert Rd,0,8824
-36.90712,merged_30,174.93054,1992-20180725154052_v68.11,32005-20180725154052_v68.11,,8 Whitford Rd,0,1992
-36.86949,merged_29,174.82255,31362-20180702170310_v67.28,,,Bonnie Brae Rd/Meadowbank Rd,1,31362
-36.96835,merged_29,174.81324,51388-20180702170310_v67.28,,,Ashley Ave/Robertson Rd,1,51388
-36.98629,merged_29,174.84803,51307-20180702170310_v67.28,,,Wyllie Rd/Tutere Rd,1,51307
-36.90918,merged_30,174.76149,11900-20180725154052_v68.11,,,Mt Albert Rd/Hillsborough Rd,1,11900
-36.739,merged_29,174.75344,3158-20180702170310_v67.28,41521-20180702170310_v67.28,,370 Beach Rd,0,3158
-36.85716,merged_29,174.74266,11081-20180702170310_v67.28,,,Richmond Rd/Leighton St,1,11081
-36.85046,merged_30,174.76475,7054-20180725154052_v68.11,11013-20180725154052_v68.11,,280 Queen St,0,7054
-36.71424,merged_30,174.67428,41649-20180725154052_v68.11,,,SH 17 and Albany Heights,1,41649
-36.91168,merged_29,174.93606,6203-20180702170310_v67.28,31678-20180702170310_v67.28,,Opp 52 Meadowland Dr,0,6203
-36.89758,merged_30,174.8073,10036-20180725154052_v68.11,,,/Ellerslie,1,10036
-36.98528,merged_29,174.86672,6557-20180702170310_v67.28,51261-20180702170310_v67.28,,95 Puhinui Rd,0,6557
-37.05545,merged_30,174.95815,2721-20180725154052_v68.11,51668-20180725154052_v68.11,,107 Clevedon Rd,0,2721
-36.84741,merged_30,174.78124,11488-20180725154052_v68.11,,,Quay St/The Strand,1,11488
-36.77435,merged_30,174.74925,3232-20180725154052_v68.11,41348-20180725154052_v68.11,,44 Forrest Hill Rd,0,3232
-36.84533,merged_30,174.73731,7118-20180725154052_v68.11,11040-20180725154052_v68.11,,160 Jervois Rd,0,7118
-36.8202,merged_30,174.70812,4122-20180725154052_v68.11,41202-20180725154052_v68.11,,62 Onetaunga Rd,0,4122
-37.02431,merged_30,174.87462,6986-20180725154052_v68.11,51800-20180725154052_v68.11,,64 Rowandale Ave,0,6986
-36.73328,merged_29,174.73366,3168-20180702170310_v67.28,49559-20180702170310_v67.28,,596 East Coast Rd,0,3168
-36.82867,merged_30,174.80291,41053-20180725154052_v68.11,,,Church St and Tudor,1,41053
-36.8476,merged_30,174.87411,31078-20180725154052_v68.11,,,Riddell Rd/Karaka Park Place,1,31078
-36.97353,merged_29,174.8843,6400-20180702170310_v67.28,31798-20180702170310_v67.28,,318 Bairds Rd,0,6400
-36.85048,merged_30,174.76331,7001-20180725154052_v68.11,11012-20180725154052_v68.11,,21 Wellesley St,0,7001
-36.80732,merged_29,174.64134,5686-20180702170310_v67.28,21514-20180702170310_v67.28,,136 Wiseley Rd,0,5686
-36.8737,merged_29,174.61108,1629-20180702170310_v67.28,21122-20180702170310_v67.28,,89 Summerland Dr,0,1629
-36.72458,merged_29,174.72296,41819-20180702170310_v67.28,,,Spencer Rd and East Coast,1,41819
-36.91285,merged_30,174.75546,8963-20180725154052_v68.11,11429-20180725154052_v68.11,,43 Hayr Rd,0,8963
-36.81031,merged_29,174.73539,41178-20180702170310_v67.28,,,Onewa Rd and Valley,1,41178
-36.89845,merged_29,174.85009,31863-20180702170310_v67.28,,,/Panmure Interchange,1,31863
-37.03224,merged_29,174.89922,2162-20180702170310_v67.28,49509-20180702170310_v67.28,,24 Rimu Rd,0,2162
-36.94659,merged_29,174.89278,2138-20180702170310_v67.28,31881-20180702170310_v67.28,,Opp 79 Springs Rd,0,2138
-37.00971,merged_29,174.88898,51565-20180702170310_v67.28,,,Browns Rd/Manukau Superclinic,1,51565
-36.85731,merged_30,174.75904,11057-20180725154052_v68.11,,,Karangahape Rd/Pitt St,1,11057
-36.82353,merged_30,174.80629,3474-20180725154052_v68.11,41022-20180725154052_v68.11,,32 Tainui Rd,0,3474
-36.94214,merged_29,174.65982,21399-20180702170310_v67.28,,,/5 Otitori Bay Rd,1,21399
-36.85236,merged_30,174.75246,7267-20180725154052_v68.11,11060-20180725154052_v68.11,,97 Wellington St,0,7267
-36.69117,merged_30,174.73551,3385-20180725154052_v68.11,41826-20180725154052_v68.11,,Long Bay Primary School,0,3385
-36.68663,merged_30,174.66468,4867-20180725154052_v68.11,41659-20180725154052_v68.11,,859 Dairy Flat Hwy,0,4867
-36.82579,merged_30,174.80868,3470-20180725154052_v68.11,41020-20180725154052_v68.11,,22 Cheltenham Rd,0,3470
-36.99046,merged_30,174.87847,2188-20180725154052_v68.11,51240-20180725154052_v68.11,,18 Ronwood Ave,0,2188
-36.84461,merged_29,174.76608,7015-20180702170310_v67.28,11812-20180702170310_v67.28,,Customs St West near Queen St,0,7015
-36.79022,merged_30,174.72151,3887-20180725154052_v68.11,41274-20180725154052_v68.11,,325 Glenfield Rd,0,3887
-36.85923,merged_30,174.82968,31915-20180725154052_v68.11,,,Patteson Ave/Kepa Rd,1,31915
-36.95117,merged_30,174.84346,2319-20180725154052_v68.11,51764-20180725154052_v68.11,,43 Mangere Rd,0,2319
-36.94129,merged_29,174.78617,6699-20180702170310_v67.28,51426-20180702170310_v67.28,,3 Church Rd,0,6699
-36.87282,merged_29,174.74678,11271-20180702170310_v67.28,,,Sandringham Rd/Kowhai Intermediate,1,11271
-36.78789,merged_29,174.74041,3946-20180702170310_v67.28,41258-20180702170310_v67.28,,178 Coronation Rd,0,3946
-36.89303,merged_30,175.0085,1948-20180725154052_v68.11,31964-20180725154052_v68.11,,36 Mahutonga Ave,0,1948
-37.05869,merged_29,174.95332,2629-20180702170310_v67.28,51049-20180702170310_v67.28,,57 Clevedon Rd,0,2629
-36.74583,merged_30,174.76043,49581-20180725154052_v68.11,,,319 Beach Rd,1,49581
-36.82754,merged_29,174.79668,3407-20180702170310_v67.28,41640-20180702170310_v67.28,,141 Victoria Rd,0,3407
-36.785,merged_30,174.6433,21020-20180725154052_v68.11,,,/107 Kauri Rd,1,21020
-36.92565,merged_30,174.85997,1372-20180725154052_v68.11,31519-20180725154052_v68.11,,62 Jolson Rd,0,1372
-37.0441,merged_30,174.89041,2293-20180725154052_v68.11,51119-20180725154052_v68.11,,101 Wattle Farm Rd,0,2293
-36.88034,merged_30,174.79433,7413-20180725154052_v68.11,31410-20180725154052_v68.11,,273 Remuera Rd,0,7413
-37.18645,merged_30,174.77402,51531-20180725154052_v68.11,,,Glenbrook Rd/Smeaton Rd,1,51531
-36.91255,merged_30,174.65262,21355-20180725154052_v68.11,,,Captain Scott Rd/Evans Rd,1,21355
-36.88648,merged_30,174.90551,31582-20180725154052_v68.11,,,Sunderlands Rd/Jillteresa Crescent,1,31582
-37.02533,merged_30,174.86912,6846-20180725154052_v68.11,51192-20180725154052_v68.11,,182 Wordsworth Rd,0,6846
-36.90877,merged_29,174.63997,21323-20180702170310_v67.28,,,West Coast Rd and Kamara,1,21323
-36.79017,merged_29,174.76009,3408-20180702170310_v67.28,41118-20180702170310_v67.28,,8 Dominion St,0,3408
-36.63711,merged_29,174.76165,41772-20180702170310_v67.28,,,Whangaparaoa Rd and Zealandia,1,41772
-37.04893,merged_29,174.88861,2019-20180702170310_v67.28,51120-20180702170310_v67.28,,Wattle Farm Rd near Golf Club,0,2019
-36.94064,merged_29,174.78942,6687-20180702170310_v67.28,51425-20180702170310_v67.28,,17 Rimu Rd,0,6687
-36.8039,merged_30,174.70406,41234-20180725154052_v68.11,,,Birkdale Rd and Gatman,1,41234
-36.8939,merged_30,174.69375,1561-20180725154052_v68.11,21914-20180725154052_v68.11,,103 Rosebank Rd,0,1561
-36.99627,merged_30,174.89567,51113-20180725154052_v68.11,,,Everglade Dr/Ransom Smyth Dr,1,51113
-36.89802,merged_29,174.64944,5861-20180702170310_v67.28,21319-20180702170310_v67.28,,4197 Great North Rd,0,5861
